                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.0929,                0.53526,                 0.9853,                0.95374,                0.98186,                0.98524,                0.69156,                 1.1446,                0.50006,                 1.0255,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0703,                0.51545,                 0.9872,                0.95823,                0.95238,                0.98109,                0.67972,                 1.1518,                0.53752,                 1.0266,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0731,                0.53999,                0.96782,                0.95292,                0.96377,                0.98583,                0.69416,                  1.121,                0.50757,                 1.0116,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0662,                0.51865,                0.96619,                0.95996,                0.95131,                 0.9836,                0.66629,                  1.168,                0.52633,                  1.017,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0491,                0.52351,                0.98313,                  0.972,                0.95238,                0.98308,                0.67743,                 1.1674,                0.52189,                 1.0167,               0.000911,               0.000911,               0.000911
                     58,                 1.0582,                0.52408,                0.95602,                0.97554,                0.94959,                0.98483,                0.68133,                 1.2106,                 0.5047,                 1.0403,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0809,                0.52264,                 0.9685,                 0.9803,                0.96032,                0.98365,                0.66661,                  1.188,                0.51104,                   1.03,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0482,                0.51147,                0.95833,                0.97481,                0.94444,                0.97519,                0.66404,                 1.2259,                 0.5493,                 1.0403,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0687,                0.51811,                0.96167,                0.98373,                0.95945,                0.98651,                0.68364,                 1.1552,                0.50318,                 1.0225,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0554,                0.50837,                0.97341,                0.96866,                0.98106,                0.98643,                0.68575,                  1.179,                0.49524,                 1.0352,               0.000812,               0.000812,               0.000812
                     63,                 1.0506,                0.50365,                0.97812,                0.97565,                0.96825,                0.98496,                0.67828,                 1.1632,                0.49468,                 1.0232,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0264,                0.51295,                0.96568,                0.96646,                0.96825,                0.98609,                0.69803,                 1.1642,                0.50932,                 1.0214,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0426,                0.51092,                0.96128,                0.93922,                0.98413,                0.98415,                0.68655,                 1.1519,                0.50206,                 1.0341,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0143,                0.49053,                0.95038,                0.96758,                0.96032,                0.98081,                0.67405,                 1.1516,                0.50998,                 1.0223,              0.0007328,              0.0007328,              0.0007328
